grams_per_day,mean_all_cause_rr,lower_all_cause_rr,upper_all_cause_rr
0,1,1,1
1,1.000044538,0.996627554,1.003766152
2,1.000089077,0.993255109,1.007532304
3,1.000133615,0.989882663,1.011298457
4,1.000178154,0.986510218,1.015064609
5,1.000222698,0.983137793,1.018830742
6,1.001315751,0.982352302,1.021733888
7,1.002408804,0.980591441,1.025828383
8,1.003501858,0.979354224,1.030173464
9,1.004594911,0.977364753,1.034488211
10,1.005687964,0.975214074,1.039147239
11,1.012200564,0.982427163,1.045548749
12,1.018713187,0.989188405,1.053043
13,1.025225811,0.995454405,1.059534816
14,1.031738435,1.001872213,1.067528654
15,1.038251059,1.007441504,1.074700125
16,1.044885963,1.013813628,1.081775953
17,1.051520868,1.019673357,1.090368546
18,1.058155772,1.02475469,1.098454704
19,1.064790676,1.029597183,1.106667216
20,1.071425641,1.034272424,1.114189789
21,1.079586241,1.04298087,1.122818529
22,1.087746841,1.048168445,1.13213545
23,1.095907441,1.056141417,1.139871305
24,1.104068041,1.063376988,1.149164322
25,1.112228641,1.070693564,1.159395291
26,1.120389241,1.076233253,1.169409892
27,1.128549841,1.083513002,1.17923352
28,1.136710441,1.090207758,1.189292377
29,1.144871042,1.094986209,1.199257717
30,1.153031642,1.100883833,1.208753046
31,1.163657015,1.112266485,1.219330505
32,1.174282389,1.123523385,1.229678841
33,1.184907763,1.134650691,1.239982216
34,1.195533137,1.145425206,1.250988689
35,1.20615851,1.155781471,1.261148441
36,1.216783884,1.164120772,1.27218921
37,1.227409258,1.173968661,1.282927229
38,1.238034632,1.183454676,1.296195968
39,1.248660006,1.192890747,1.309020091
40,1.259285379,1.20108989,1.321108472
41,1.270261266,1.211904867,1.333642932
42,1.281237169,1.22151526,1.345663822
43,1.292213073,1.232521625,1.357204661
44,1.303188977,1.241225419,1.370883061
45,1.314164881,1.250888388,1.382350477
46,1.325140785,1.260485005,1.395125869
47,1.336116689,1.270978462,1.408860563
48,1.347092592,1.278364915,1.420666791
49,1.358068496,1.286811671,1.433954712
50,1.369044531,1.296137232,1.449200983
51,1.382875329,1.309695508,1.460511779
52,1.396706127,1.325437605,1.472640346
53,1.410536924,1.339222428,1.486809748
54,1.424367722,1.35278599,1.499849693
55,1.43819852,1.367676553,1.514563889
56,1.452029317,1.381962544,1.530844881
57,1.465860115,1.395134804,1.54885151
58,1.479690912,1.407351852,1.563072846
59,1.49352171,1.420025967,1.577695516
60,1.507352508,1.430418833,1.594541417
61,1.522347057,1.444210094,1.608643073
62,1.537341606,1.457957497,1.622327242
63,1.552336155,1.471829011,1.637172371
64,1.567330704,1.485042359,1.653445739
65,1.582325254,1.496676525,1.672762092
66,1.597319803,1.508926975,1.692132454
67,1.612314352,1.520776455,1.70985853
68,1.627308901,1.533011978,1.729459232
69,1.64230345,1.545005249,1.748496899
70,1.657298,1.554893631,1.767205964
71,1.675297221,1.572037786,1.783548048
72,1.693296471,1.589174324,1.804711644
73,1.711295721,1.606307225,1.823105307
74,1.729294971,1.623221811,1.843851917
75,1.747294221,1.639376459,1.864730864
76,1.765293471,1.653817898,1.889174367
77,1.78329272,1.66809936,1.912789995
78,1.80129197,1.681893877,1.938186705
79,1.81929122,1.695703257,1.964278426
80,1.837290464,1.709607107,1.988488721
81,1.857753878,1.724899038,2.008235436
82,1.878217291,1.740428265,2.034900065
83,1.898680705,1.756567577,2.064460194
84,1.919144118,1.766085153,2.09355889
85,1.939607532,1.779818955,2.126615927
86,1.960070945,1.793518366,2.150640726
87,1.980534359,1.807132163,2.189678957
88,2.000997772,1.81939245,2.226907785
89,2.021461186,1.829377709,2.262869262
90,2.041924599,1.842062001,2.299187156
91,2.059467906,1.852849067,2.318619787
92,2.077011213,1.86914689,2.333625598
93,2.09455452,1.879986248,2.36720677
94,2.112097827,1.894429689,2.401819566
95,2.129641134,1.904723485,2.43723591
96,2.147184441,1.918096047,2.475925276
97,2.164727748,1.927304033,2.506903374
98,2.182271055,1.933079976,2.529414019
99,2.199814362,1.940622274,2.569377988
100,2.217357669,1.949782841,2.599601571
101,2.233932767,1.95934957,2.623298231
102,2.250507789,1.971140629,2.64363917
103,2.267082812,1.982935291,2.673906288
104,2.283657835,1.992702843,2.702451919
